"day","temp","dewp","visib","NUM_COLLISIONS"
2,59.8,50.2,10,475
6,38.6,34.4,9.6,806
4,43.5,30.4,10,510
5,77.1,62,10,565
6,78.2,69.6,9.3,581
6,77.4,60.2,10,577
3,66.5,48,10,452
4,65.9,65.3,2.6,656
3,48.2,42.2,9.6,560
3,63.1,58.4,9.9,618
3,64.9,56.7,10,592
7,69.6,59.4,9.6,624
6,67.2,57.8,10,660
7,78.9,60.7,9.9,603
7,77.3,60.9,9.3,601
7,60.8,53.4,10,598
7,26.7,18.2,10,711
4,44,37,9.6,645
5,39.6,26.8,10,717
2,66.6,55.9,10,504
1,62.2,51.9,9.5,611
1,61.3,57.7,9.6,497
2,65.5,61.6,8.6,564
3,63.3,56.5,10,549
1,75.5,69.6,7,513
3,64.2,63.7,2.8,726
2,64.9,55.5,9.8,516
7,67.6,65.8,9.3,655
6,70.4,63.7,7.7,587
2,69.1,61.4,9.8,512
2,33.2,18.7,10,500
1,35.6,25.1,10,507
2,48,38.5,9.8,440
3,57.5,47.6,10,610
7,55.6,49.7,6.9,754
2,72.5,59.4,10,498
7,77,67.8,8.7,680
5,77.8,67.1,8.8,528
2,80.6,65.5,8.5,464
3,65.6,62.6,7.9,673
5,35.6,28.9,10,264
1,46.6,34.7,8.6,517
5,73.8,60.3,9.8,504
3,67.7,65.2,6.1,602
3,70.9,64.9,8.3,668
3,71.3,66.7,9.9,580
4,68.9,65.8,8.4,709
7,66.8,62.9,6.3,753
6,61.7,59.9,9.9,611
3,68.3,65.9,5.6,591
7,69.1,62.4,6.5,642
4,63.9,56.9,8.8,516
6,59.1,47.7,10,615
4,54.4,49.9,4.4,592
1,67.3,59.8,10,504
7,66.1,64.7,4.7,542
1,66.8,65.5,4.6,623
2,63.9,59.5,6.8,597
2,64.8,58.4,8.4,442
6,54.1,54.1,5.3,732
4,46.2,37.1,10,732
6,35,24.4,10,681
3,46.7,41,10,697
7,48.3,40.8,8.9,481
5,55.3,45.3,10,539
4,60.4,58.8,5.7,721
6,55.2,45.5,9.4,744
