"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","z_score"
2,2018,9,23,2018-09-23,59.8,50.2,1023.4,10,3,5.1,NA,78.1,53.1,0,0,475,-0.112394445575373
6,2018,12,20,2018-12-20,38.6,34.4,1020.2,9.6,5,7,NA,48,21,0,0,806,1.94231457273064
4,2013,11,5,2013-11-05,43.5,30.4,1037.8,10,3.9,7,NA,50,37.9,0,0,510,0.104870858475111
5,2012,7,11,2012-07-11,77.1,62,1019.9,10,1.9,7,NA,84,64.9,0,0,565,0.446287764840158
6,2012,8,9,2012-08-09,78.2,69.6,1013.6,9.3,2.3,7,15,88,61,0,0,581,0.545609046691808
6,2012,7,12,2012-07-12,77.4,60.2,1021.7,10,2.3,7,NA,88,57,0,0,577,0.520778726228896
3,2012,9,17,2012-09-17,66.5,48,1018.3,10,2.2,7,NA,77,48.2,0,0,452,-0.25516878823712
4,2017,9,26,2017-09-26,65.9,65.3,1016.8,2.6,3.4,7,NA,77,59,0.12,1,656,1.01117755537142
3,2014,11,10,2014-11-10,48.2,42.2,1019.2,9.6,4,7,NA,59,39,0,0,560,0.415249864261518
3,2016,7,11,2016-07-11,63.1,58.4,1016.8,9.9,4.9,7,NA,70,55,0.01,0,618,0.775289510973749
3,2019,7,8,2019-07-08,64.9,56.7,1014.7,10,4.2,7,NA,75,54,0,0,592,0.613892427964818
7,2014,7,18,2014-07-18,69.6,59.4,1020.7,9.6,5,7,NA,79,63,0.04,0,624,0.812534991668118
6,2016,9,22,2016-09-22,67.2,57.8,1020.9,10,3.7,7,NA,79,57.9,0,0,660,1.03600787583433
7,2012,7,13,2012-07-13,78.9,60.7,1021.8,9.9,3,7,NA,87.1,63,0,0,603,0.682175809237827
7,2012,8,24,2012-08-24,77.3,60.9,1020.7,9.3,2,7,NA,87.1,66,0,0,601,0.669760649006371
7,2012,10,26,2012-10-26,60.8,53.4,1022.6,10,1.5,7,NA,64.9,39.2,0,0,598,0.651137908659187
7,2019,3,1,2019-03-01,26.7,18.2,1026.9,10,4,7,NA,35.1,16,0,0,711,1.35259446173647
4,2014,12,16,2014-12-16,44,37,1019.7,9.6,4.2,8,NA,48,33.1,0,0,645,0.942894174098409
5,2015,11,25,2015-11-25,39.6,26.8,1038.6,10,4.3,8,NA,50,28.9,0,0,717,1.38983994243083
2,2015,9,6,2015-09-06,66.6,55.9,1023.5,10,4.7,8,NA,72,50,0,0,504,0.0676253777807423
1,2014,6,28,2014-06-28,62.2,51.9,1024.1,9.5,4.8,8,NA,72,52,0.02,0,611,0.731836450163652
1,2013,10,5,2013-10-05,61.3,57.7,1018,9.6,4.2,8,NA,72,54,0.13,0,497,0.0241723169706454
2,2018,7,15,2018-07-15,65.5,61.6,1016.5,8.6,5.3,8,NA,72,55.9,0,1,564,0.44008018472443
3,2014,8,25,2014-08-25,63.3,56.5,1020.5,10,3.8,8,NA,72,54,0,0,549,0.346966482988508
1,2012,7,28,2012-07-28,75.5,69.6,1012.2,7,3.9,8,15.9,84,68,0,1,513,0.123493598822295
3,2017,9,25,2017-09-25,64.2,63.7,1017.8,2.8,4.2,8,NA,73,59,0,1,726,1.44570816347239
2,2014,6,8,2014-06-08,64.9,55.5,1013.2,9.8,4.8,8,NA,77,55.9,0,0,516,0.14211633916948
7,2017,8,11,2017-08-11,67.6,65.8,1021.4,9.3,5.8,8,NA,77,60.1,0,1,655,1.00496997525569
6,2014,7,17,2014-07-17,70.4,63.7,1013.3,7.7,4.5,8,NA,77,66.2,0.01,1,587,0.582854527386177
2,2014,8,10,2014-08-10,69.1,61.4,1019.2,9.8,4.6,8,NA,81,57.9,0.01,0,512,0.117286018706567
2,2016,3,6,2016-03-06,33.2,18.7,1024.3,10,3.1,8,NA,41,23,0,0,500,0.0427950573178298
1,2014,2,1,2014-02-01,35.6,25.1,1024.8,10,4.8,8,NA,41,30.9,0,0,507,0.0862481181279267
2,2013,4,28,2013-04-28,48,38.5,1027.1,9.8,3.9,8,NA,57,37,0,0,440,-0.329659749625858
3,2014,9,15,2014-09-15,57.5,47.6,1022,10,3.6,8,NA,66,46.9,0,0,610,0.725628870047924
7,2016,10,7,2016-10-07,55.6,49.7,1025.3,6.9,2.7,8,NA,70,44.1,0,1,754,1.61952040671277
2,2012,7,22,2012-07-22,72.5,59.4,1020.3,10,2,8,NA,82,54,0,0,498,0.0303798970863735
7,2012,9,7,2012-09-07,77,67.8,1012.2,8.7,2.7,8,NA,86,64.4,0,0,680,1.16015947814889
5,2012,8,8,2012-08-08,77.8,67.1,1014.7,8.8,1.1,8,NA,86,64,0,0,528,0.216607300558217
2,2012,7,8,2012-07-08,80.6,65.5,1010.1,8.5,3.1,8,15.9,90,70,0.59,0,464,-0.180677826848383
3,2018,9,17,2018-09-17,65.6,62.6,1020.6,7.9,5,8,NA,75,55.9,0,1,673,1.1167064173388
5,2019,12,25,2019-12-25,35.6,28.9,1022.2,10,4.7,8,NA,46.9,28,0,0,264,-1.42219384999401
1,2013,4,27,2013-04-27,46.6,34.7,1029.1,8.6,3.9,8,NA,55.9,35.1,0,1,517,0.148323919285208
5,2012,8,22,2012-08-22,73.8,60.3,1019.6,9.8,1.7,8,NA,80.1,61,0,0,504,0.0676253777807423
3,2017,8,14,2017-08-14,67.7,65.2,1016.4,6.1,4.3,8,NA,80.1,61,0,1,602,0.675968229122099
3,2015,7,13,2015-07-13,70.9,64.9,1013.8,8.3,5.3,8,NA,80.1,66,0,0,668,1.08566851676016
3,2018,7,30,2018-07-30,71.3,66.7,1020.4,9.9,5.8,8,NA,80.1,64.9,0,0,580,0.53940146657608
4,2018,7,31,2018-07-31,68.9,65.8,1020.4,8.4,4.9,8,NA,80.1,64,0,1,709,1.34017930150501
7,2019,6,28,2019-06-28,66.8,62.9,1020.2,6.3,4.4,8,NA,80.1,57,0,1,753,1.61331282659705
6,2017,7,6,2017-07-06,61.7,59.9,1021.8,9.9,5.9,8,NA,78.1,53.1,0,0,611,0.731836450163652
3,2013,7,22,2013-07-22,68.3,65.9,1015.1,5.6,5.1,8,NA,78.1,64,0.17,1,591,0.60768484784909
7,2014,7,11,2014-07-11,69.1,62.4,1021.9,6.5,4.3,8,NA,78.1,64,0.03,1,642,0.924271433751224
4,2014,8,19,2014-08-19,63.9,56.9,1012.6,8.8,4.1,8,NA,73.9,54,0.01,1,516,0.14211633916948
6,2015,6,18,2015-06-18,59.1,47.7,1019.3,10,3.9,8,NA,66.9,48.9,0,0,615,0.756666770626565
4,2013,5,7,2013-05-07,54.4,49.9,1021.9,4.4,4.5,8,NA,66.9,46,0,1,592,0.613892427964818
1,2013,8,17,2013-08-17,67.3,59.8,1023.8,10,3.2,8,NA,75.9,55.9,0,0,504,0.0676253777807423
7,2019,7,5,2019-07-05,66.1,64.7,1021.4,4.7,3.9,8,NA,75.9,59,0,1,542,0.303513422178411
1,2017,9,16,2017-09-16,66.8,65.5,1020.8,4.6,2.8,8,NA,75.9,61,0,1,623,0.80632741155239
2,2018,9,16,2018-09-16,63.9,59.5,1023.1,6.8,3.7,8,NA,75.9,54,0,1,597,0.644930328543458
2,2013,8,18,2013-08-18,64.8,58.4,1023.8,8.4,3.3,8,NA,75.9,55.9,0.01,1,442,-0.317244589394402
6,2018,5,17,2018-05-17,54.1,54.1,1016.7,5.3,3.6,8,NA,62.1,50,0.32,1,732,1.48295364416676
4,2016,11,1,2016-11-01,46.2,37.1,1027.3,10,4.4,8,NA,53.1,34,0.01,0,732,1.48295364416676
6,2016,1,28,2016-01-28,35,24.4,1016.1,10,4.3,8.9,NA,46,23,0.09,0,681,1.16636705826462
3,2018,11,19,2018-11-19,46.7,41,1021,10,5,8.9,NA,54,37.9,0,0,697,1.26568834011627
7,2012,11,23,2012-11-23,48.3,40.8,1016.5,8.9,3.4,8.9,NA,54,39.2,0,1,481,-0.0751489648810047
5,2013,9,25,2013-09-25,55.3,45.3,1012.3,10,4.5,8.9,NA,64,44.1,0,0,539,0.284890681831227
4,2019,6,18,2019-06-18,60.4,58.8,1015.1,5.7,5.2,8.9,NA,64,55.9,0.02,1,721,1.41467026289375
6,2016,5,12,2016-05-12,55.2,45.5,1020,9.4,4.4,8.9,NA,68,42.1,0,0,744,1.55744460555549
5,2013,6,5,2013-06-05,58.6,45.6,1020.5,9.8,5.7,8.9,NA,68,48.9,0,0,599,0.657345488774915
7,2019,6,7,2019-06-07,59.8,55.3,1012.6,9.8,4.8,8.9,NA,72,51.1,0.22,0,734,1.49536880439821
4,2019,9,10,2019-09-10,62.8,57.5,1027.3,10,6.2,8.9,NA,72,57,0,0,605,0.694590969469283
3,2019,9,9,2019-09-09,63.9,58.4,1023.2,9.8,4.5,8.9,NA,72,57,0,0,603,0.682175809237827
2,2018,9,30,2018-09-30,61,53.5,1025.6,9.7,4.7,8.9,NA,72,51.1,0,1,510,0.104870858475111
3,2013,6,10,2013-06-10,62.2,56.1,1021.3,9.3,6,8.9,NA,72,53.1,0,0,624,0.812534991668118
4,2014,8,26,2014-08-26,63,56,1021.1,10,3.5,8.9,NA,72,53.1,0,0,608,0.713213709816468
2,2014,6,29,2014-06-29,64.7,57.9,1024,9.5,5,8.9,NA,72,55.9,0.01,0,537,0.272475521599771
6,2012,8,23,2012-08-23,74.7,61.7,1020.4,8.9,2,8.9,NA,84,62.6,0,0,574,0.502155985881711
5,2013,7,17,2013-07-17,72.9,65.8,1020.8,9.9,5.6,8.9,NA,84,66.9,0,0,609,0.719421289932196
6,2016,9,1,2016-09-01,71.5,67,1011.2,9.7,6.8,8.9,NA,77,66.9,0,0,675,1.12912157757025
7,2018,7,20,2018-07-20,64.3,56.7,1021.6,10,3.3,8.9,NA,77,54,0,0,700,1.28431108046346
7,2014,7,25,2014-07-25,67.4,60.8,1013.4,10,5.9,8.9,NA,77,61,0,0,653,0.992554815024234
7,2015,8,14,2015-08-14,70.4,63.5,1020.3,8.6,4.8,8.9,NA,81,62.1,0,0,729,1.46433090381957
3,2012,8,27,2012-08-27,71.9,66.3,1019.7,8.6,2.7,8.9,18.1,81,55.4,0.01,1,548,0.34075890287278
3,2014,8,11,2014-08-11,66.3,59.2,1021.1,7.8,3.6,8.9,NA,81,57,0.01,1,604,0.688383389353555
5,2015,8,19,2015-08-19,73.9,70.1,1018.9,6.3,5.4,8.9,NA,81,69.1,0,1,594,0.626307588196274
3,2015,8,24,2015-08-24,71.7,69.2,1013.1,3.8,5.4,8.9,NA,81,68,0,1,575,0.508363565997439
6,2016,7,7,2016-07-07,68.7,66.7,1010.4,4.1,5.9,8.9,NA,81,64,0,1,603,0.682175809237827
4,2018,12,11,2018-12-11,32,22.9,1019.5,10,4.5,8.9,NA,43,25,0,0,707,1.32776414127355
1,2019,2,23,2019-02-23,34.8,27.7,1030.2,10,4.9,8.9,NA,43,30,0,0,439,-0.335867329741586
5,2019,5,1,2019-05-01,46.9,39.2,1030,10,4.7,8.9,NA,55,39.9,0,0,599,0.657345488774915
4,2017,5,9,2017-05-09,48.3,34.9,1014.8,10,6.2,8.9,NA,55,39.9,0,0,651,0.980139654792777
4,2015,10,27,2015-10-27,46.7,36.2,1034.1,10,5.9,8.9,NA,57,36,0,0,631,0.855988052478215
5,2013,11,6,2013-11-06,46.5,41.4,1030.4,10,3.7,8.9,NA,57,36,0,0,635,0.880818372941127
