day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
1,2023,11,13,11/13/2023,39.7,29.6,1026.7,10,3.8,8.0,999.9,48,30,0,999.9,0,300
7,2023,11,05,11/5/2023,53,48,1016.7,9.4,5.0,11.1,999.9,61,43,0,999.9,0,235
7,2023,11,12,11/12/2023,41.2,29.6,1030,10,7.1,11.1,14,54,30.9,0,999.9,0,233
2,2023,11,21,11/21/2023,38.7,24.2,1033,10,8.8,12.0,19,46,30.9,0,999.9,0,352
1,2023,11,06,11/6/2023,48.4,43.7,1019.6,9.9,7.9,13.0,19,61,39.9,0,999.9,0,275
4,2023,11,09,11/9/2023,45.3,37.5,1014.4,9.4,6.6,13.0,999.9,53.1,37,0,999.9,0,240
5,2023,11,17,11/17/2023,51.9,50.1,1019.1,6.5,8.7,13.0,999.9,61,43,0,999.9,1,320
5,2023,11,03,11/3/2023,44,33.8,1032,10,8.2,15.0,999.9,53.1,30.9,0,999.9,0,290
7,2023,11,26,11/26/2023,35.5,28.8,1026.2,10,6.7,15.0,999.9,46.9,19.9,0,999.9,0,203
2,2023,11,14,11/14/2023,41.8,35.1,1021.5,10,7.1,15.9,26,50,30,0,999.9,0,263
6,2023,11,11,11/11/2023,47.9,34.4,1022.3,10,9.7,15.9,25.1,54,39.9,0,999.9,0,294
2,2023,11,07,11/7/2023,56.2,51.5,1010.9,9.2,13.5,17.1,27,61,39.9,0,999.9,0,233
4,2023,11,30,11/30/2023,41.6,29.4,1019.6,10,11.0,17.1,24.1,46.9,30.9,0,999.9,0,242
5,2023,11,24,11/24/2023,45.6,34.4,1016.1,10,9.6,17.1,22,52,39,0,999.9,0,216
6,2023,11,04,11/4/2023,56,51.5,1024.6,10,11.2,18.1,22,60.1,52,0,999.9,0,238
7,2023,11,19,11/19/2023,44.3,32.3,1010.1,10,11.0,18.1,25.1,63,37.9,0,999.9,0,266
1,2023,11,20,11/20/2023,41.7,27.6,1022.4,10,13.5,18.1,28,52,37,0,999.9,0,315
6,2023,11,25,11/25/2023,34.5,20.9,1026.2,10,11.2,18.1,32.1,51.1,26.1,0,999.9,0,208
4,2023,11,16,11/16/2023,52.5,46,1023.2,9.7,13.0,20.0,27,57.9,39,0,999.9,0,270
3,2023,11,29,11/29/2023,34.1,17.7,1015.1,10,12.7,20.0,31.1,43,30.9,0,999.9,0,220
3,2023,11,08,11/8/2023,48.1,34,1012.2,10,14.8,22.0,31.1,61,42.1,0,999.9,0,267
6,2023,11,18,11/18/2023,54.5,52.7,1006.6,8.9,11.9,24.1,34,63,43,0.09,999.9,0,275
4,2023,11,23,11/23/2023,46.6,41.2,1004.2,10,12.7,21.0,29.9,55.9,42.1,0.15,999.9,0,186
3,2023,11,15,11/15/2023,45.1,36.6,1028.2,10,8.5,12.0,999.9,50,33.1,0.01,999.9,0,271
5,2023,11,10,11/10/2023,49.4,39.9,1015.9,10,8.2,12.0,20,54,37,0.01,999.9,0,215
2,2023,11,28,11/28/2023,40.5,25.3,1006.2,10,11.3,20.0,26,55,35.1,0.1,999.9,0,217
1,2023,11,27,11/27/2023,50.8,46.8,1007,8.7,17.0,29.9,44.1,54,46,0.13,999.9,0,250
3,2023,11,22,11/22/2023,48.4,45,1015.6,6.2,21.8,38.1,51.1,55.9,30.9,0.26,999.9,1,285
4,2023,11,02,11/2/2023,42,32.6,1027.2,10,7.7,11.1,20,50,36,0.06,999.9,0,231
3,2023,11,01,11/1/2023,43.9,35.9,1014.6,9.5,11.2,17.1,27,48.9,39.9,0.06,999.9,0,257
